feature_1,feature_2,feature_3,feature_4,feature_5,capacity
0.8684492405009081,0.9969041114270926,0.8587318762145821,0.5179984531384182,0.8581801413431049,375.0
0.0789550436581623,0.9517085108644645,0.1047986886368929,0.5157904334040428,0.8912259141722765,671.0
0.3447828604232934,0.6851402130408194,0.28406182491244647,0.46878668587914574,0.5559118369781227,735.0
0.8947210190901353,0.4587065919716474,0.5510680263723956,0.52026399571267,0.8855538164593835,865.0
0.5013288040393649,0.4172908422590784,0.50981496310441,0.1987485955715349,0.31980368494072664,856.0
0.20471909422422763,0.05051541943759319,0.9365603153959192,0.6074535952394235,0.3875873533550164,985.0
0.9501897654277022,0.1872212629620551,0.6877086441189035,0.7912697907991276,0.8534383741133286,471.0
0.2419623272356386,0.43629821761676146,0.7812484588172063,0.17740738745907192,0.671117615861665,661.0
0.3026400294408701,0.8643906372529478,0.6512725707347039,0.14677009518303996,0.45121754140200554,770.0
0.08314236383127949,0.3337982603938553,0.5170904387489631,0.28356931257333007,0.52249502604177,904.0
0.19248845331973874,0.49380039789749564,0.713877017695806,0.09307988247637833,0.7778809474138401,483.0
0.3783049931848058,0.5884230797495286,0.15307481575958992,0.6619593382435756,0.31662152733324933,83.0
0.2159347024923688,0.4959663193038576,0.7030986596138049,0.886146269066785,0.45466224708416525,52.0
0.9560578623861677,0.10383220071656729,0.8425149430179232,0.5343232905431753,0.2620845409339305,170.0
0.08221513730437258,0.14171943166575518,0.9707574115130537,0.9289113822354432,0.519813864277384,91.0
0.43935301346550104,0.6387516531346104,0.9846912486771914,0.40473535897684243,0.07760517612575524,77.0
0.9040198384571052,0.8160641623905102,0.304948429973094,0.24827708887404798,0.7040511253342894,122.0
0.8668689096704001,0.22662995518249152,0.9949884881966218,0.7020758961318949,0.7081551490825158,827.0
0.43620147133108267,0.7905928629450265,0.37986900338681695,0.5474996001382664,0.6494920452478937,335.0
0.4656329567902363,0.9709371728696944,0.4284176226620895,0.5161415886310107,0.5949573894038246,664.0
0.6208917150093637,0.12122344257623408,9.100061680722416e-05,0.28449107574355836,0.15340782479356052,754.0
0.09224863401871952,0.43015628040253007,0.8393545503143647,0.4382124866088719,0.22419736918311906,543.0
0.1075485152018375,0.14289590443389832,0.6657689256326191,0.4188217260970314,0.8859547849164603,333.0
0.5468504559399668,0.8228566325790363,0.7399373615411672,0.377307380758481,0.23079188052827493,154.0
0.3402638646476589,0.10935296035211117,0.17863734314080215,0.8203797374690691,0.400326948393648,470.0
0.8352142091999359,0.9285381071760991,0.19633824791992405,0.9688677049708654,0.9331286569435507,756.0
0.5035737158829108,0.03231397345500697,0.31665611905344593,0.5419811585398421,0.5373929483566009,790.0
0.8245534015308034,0.7531479558140536,0.4251573395424024,0.1834296241742377,0.2805315996655574,269.0
0.349140605334917,0.1796445750381923,0.1438972002752309,0.5009857399429393,0.8084666972534675,680.0
0.6292746687056557,0.1496827674207365,0.0520920275432849,0.3123478971695406,0.3216049384871813,161.0
0.7241322215892487,0.504302587965713,0.2083448519181238,0.4371325770106539,0.8701592021406235,101.0
0.37505411283409273,0.4750180741897396,0.006661288496981443,0.5383146500853138,0.5049875930743719,322.0
