Location,Population density,GDP,Urbanization rate,E-waste generation rate,Inventory capacity
Location 1,1424.24717582482,6573.721485603529,0.5169760120875886,0.17392698608366125,1314.2039149605378
Location 2,1695.228897917903,4931.805664079096,0.5288628029176953,0.19515152201533306,1429.27686941279
Location 3,221.21873590115365,4677.751391026961,0.7524322970032069,0.09458986123592482,818.8508720715832
Location 4,1040.0511314351752,5620.63248397338,0.33406868957194846,0.05971050721570411,817.653111340298
Location 5,649.0287541983413,1144.7239476961058,0.7003376106648708,0.0940241760810666,805.5661199524257
Location 6,232.15722689224276,860.4683279232113,0.46908566982319644,0.09911962912450831,-1010.5987307698547
Location 7,824.3606810969621,8365.672496318966,0.35893331786113597,0.04252008599807047,1245.454230099265
Location 8,1686.910747013846,3985.343697768656,0.5731022581384819,0.11773502264545813,1305.7371148431282
Location 9,1320.556351318366,7044.119953723695,0.5655489388026143,0.066204362310253,1738.2359927868592
Location 10,80.73314189656139,2154.4318909341296,0.8546172118090416,0.15525666485108702,794.477142107484
Location 11,582.9977415810631,3739.981856448975,0.4603875950021826,0.04610687043537353,974.7472926722113
Location 12,863.8645947911584,7011.0710140444135,0.44711730645565523,0.0911129020967669,804.0581942885833
Location 13,759.7239801598462,3016.365160774082,0.6490347217846243,0.038627083045602986,1572.932246997941
Location 14,1509.9734270526153,7221.200536041937,0.2889459965477126,0.22498588498969058,2147.7750507864466
Location 15,-703.8711178088574,3353.6897553722147,0.33381010601920275,0.12742236440519655,1494.1234905822348
Location 16,1340.981592067748,4165.352396729595,0.7043966008505079,0.044652288501219106,1784.4633309765345
Location 17,526.0180460187948,2236.659673774261,0.3560514142949059,0.14411261374667794,886.8221404641843
Location 18,828.5133691201175,4552.931495201136,0.6443796120670233,0.12592690282228047,1369.7156582882471
Location 19,468.0476151257898,3063.2525758722513,0.47144315594739084,0.10409519703573908,1328.815724900824
Location 20,1047.4535356882434,5652.811600316112,0.2970390478728237,0.0839892181493994,915.5015689740335
Location 21,1254.7507961154934,803.2462844961947,0.313136645871087,0.028979882824934966,413.92780828073626
